lanchonete,rating,link,preco,foto,produto,scraped_at,search_term
Minirancho,4.3,/delivery/sao-paulo-sp/minirancho-bela-vista/b2a93b8b-a219-40f8-a91e-1fa02917f70d,"R$ 12,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/b2a93b8b-a219-40f8-a91e-1fa02917f70d/202103251240_R2hp_.jpeg?imwidth=384,X salada,2025-05-06 19:35:23,x salada
A Grande Família Salgateria e Pastelaria,4.6,/delivery/sao-paulo-sp/a-grande-familia-salgateria-e-pastelaria-jabaquara/e563c7f8-57ec-4dfc-8119-21c509b9b541,"R$ 13,99",https://static.ifood-static.com.br/image/upload/t_medium/pratos/e563c7f8-57ec-4dfc-8119-21c509b9b541/202302181209_LS1T_i.jpg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Império do Bar,Novidade,/delivery/sao-paulo-sp/imperio-do-bar-parque-jabaquara/b181b786-efac-40c1-bec2-8c05c03d6ba9,"R$ 14,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/b181b786-efac-40c1-bec2-8c05c03d6ba9/202503241621_0M1I_i.jpg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Shoppymaster,Novidade,/delivery/sao-paulo-sp/shoppymaster-vila-bandeirantes/fba1fed8-5059-4848-addc-d8cc74f7aee7,"R$ 14,49",https://static.ifood-static.com.br/image/upload/t_medium/pratos/fba1fed8-5059-4848-addc-d8cc74f7aee7/202412071800_7fi6sz4wn5x.jpeg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Batata da Parada,3.7,/delivery/sao-paulo-sp/batata-da-parada-parada-inglesa/51d8eade-baf8-45a9-9b0a-976148030976,"R$ 14,50",https://static.ifood-static.com.br/image/upload/t_medium/pratos/51d8eade-baf8-45a9-9b0a-976148030976/202306120909_174M_i.jpg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Marmitaria Express -entrega Super Rápida,4.5,/delivery/sao-paulo-sp/marmitaria-express--entrega-super-rapida-pinheiros/0748ff71-07ee-4dfa-ad76-f500c895fa77,"R$ 15,99",https://static.ifood-static.com.br/image/upload/t_medium/pratos/0748ff71-07ee-4dfa-ad76-f500c895fa77/202501230614_3RY0_i.jpg?imwidth=384,X Salada,2025-05-06 19:35:23,x salada
Paraja Restaurante,4.6,/delivery/sao-paulo-sp/paraja-restaurante-pinheiros/73b35107-07d1-4747-b61f-3e4cc4d5f09c,"R$ 15,99",https://static.ifood-static.com.br/image/upload/t_medium/pratos/73b35107-07d1-4747-b61f-3e4cc4d5f09c/202501230604_NG0C_i.jpg?imwidth=384,X Salada,2025-05-06 19:35:23,x salada
Padaria Nova Suzana,4.8,/delivery/sao-paulo-sp/padaria-nova-suzana-imirim/04d25151-bffe-44bb-8306-80d8646b7985,"R$ 15,99",https://static.ifood-static.com.br/image/upload/t_medium/logosgde/04d25151-bffe-44bb-8306-80d8646b7985/202103240858_XXr7_.jpeg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Lanchonete Pilões,4.4,/delivery/sao-paulo-sp/lanchonete-piloes-ipiranga/ad32f460-d719-4067-8f51-bfbe12729d8b,"R$ 16,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/ad32f460-d719-4067-8f51-bfbe12729d8b/202410311758_611Y_i.jpg?imwidth=384,X-salada,2025-05-06 19:35:23,x salada
@Tudinho_lanches,4.6,/delivery/sao-paulo-sp/tudinholanches-vila-siqueira-zona-norte/fb36c476-3c09-4747-98fa-8764e6d5cf38,"R$ 16,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/fb36c476-3c09-4747-98fa-8764e6d5cf38/202504221551_CZN5_.jpeg?imwidth=384,X Salada,2025-05-06 19:35:23,x salada
Supremo Caldos e Açaí,4.3,/delivery/sao-paulo-sp/supremo-caldos-e-acai-vila-brasilina/aa168cd0-b418-422d-8a12-bd2c9cf8530c,"R$ 16,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/aa168cd0-b418-422d-8a12-bd2c9cf8530c/202311242026_X57I_i.jpg?imwidth=384,X Salada,2025-05-06 19:35:23,x salada
Burgão da Praça,5.0,/delivery/sao-paulo-sp/burgao-da-praca-alto-da-mooca/8cb714be-e621-463a-b1d2-cba98ce30508,"R$ 16,50",https://static.ifood-static.com.br/image/upload/t_medium/logosgde/8cb714be-e621-463a-b1d2-cba98ce30508/202411011034_RXAh_i.jpg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Padaria Torre dos Pães II,4.1,/delivery/sao-paulo-sp/padaria-torre-dos-paes-ii-parque-sao-jorge/03153962-9e25-44bb-8204-41b9c0f5f67f,"R$ 17,90",https://static.ifood-static.com.br/image/upload/t_medium/pratos/a8c0a9d6-e5a5-4dd2-9c86-24e23e69d439/201810171343_xsala.jpg?imwidth=384,X-salada,2025-05-06 19:35:23,x salada
DISNEY BURGUER,4.7,/delivery/sao-paulo-sp/disney-burguer-santa-cecilia/aee50cc5-3446-4863-b308-c89754312ed7,"R$ 17,99",https://static.ifood-static.com.br/image/upload/t_medium/pratos/aee50cc5-3446-4863-b308-c89754312ed7/202504100104_C4OD_.jpeg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Ponto da Esfiha Itaberaba,4.9,/delivery/sao-paulo-sp/ponto-da-esfiha-itaberaba-itaberaba/12cef9ba-b400-4ae6-80bd-ab4d6af8973d,"R$ 18,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/b9ba9f88-9f5b-43bb-812d-9b1a362757b5/202007302344_00Qa_.jpeg?imwidth=384,X - Salada,2025-05-06 19:35:23,x salada
Lanchonete Copa 90Esta loja é uma das campeãs do iFood em qualidade de serviço.,4.8,/delivery/sao-paulo-sp/lanchonete-copa-90-jardim-monte-kemel/30767934-11ea-4801-ab64-40b00c60b811,"R$ 18,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/30767934-11ea-4801-ab64-40b00c60b811/202003221612_de3a_x.jpg?imwidth=384,X- Bacon salada,2025-05-06 19:35:23,x salada
Pizzaria Agnus,4.8,/delivery/sao-paulo-sp/pizzaria-agnus-bela-vista/77f4b6ac-a9ea-45bd-9c9f-8820b43fec64,"R$ 18,00",https://static.ifood-static.com.br/image/upload/t_medium/logosgde/77f4b6ac-a9ea-45bd-9c9f-8820b43fec64/202001291853_F262_.jpeg?imwidth=384,X-Salada (no pão de hambúrguer),2025-05-06 19:35:23,x salada
Marmitaria Giovana,4.6,/delivery/sao-paulo-sp/marmitaria-giovana-bela-vista/c36b0472-c285-4353-a920-57cfc12d85ef,"R$ 18,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/c36b0472-c285-4353-a920-57cfc12d85ef/202103270053_VtcG_.jpeg?imwidth=384,X salada,2025-05-06 19:35:23,x salada
Ponto da Esfiha Jaguaré,4.6,/delivery/sao-paulo-sp/ponto-da-esfiha-jaguare-jaguare/3857390b-7feb-457c-bcec-4a0ffa805af9,"R$ 18,20",https://static.ifood-static.com.br/image/upload/t_medium/pratos/3857390b-7feb-457c-bcec-4a0ffa805af9/202304291504_165S_i.jpg?imwidth=384,X - Salada,2025-05-06 19:35:23,x salada
Gelaguella Açai,4.8,/delivery/sao-paulo-sp/gelaguella-acai-vila-bancaria/6167cced-cc37-4fff-b65f-087a78948699,"R$ 18,49",https://static.ifood-static.com.br/image/upload/t_medium/pratos/6167cced-cc37-4fff-b65f-087a78948699/202411080529_D9VP_.jpeg?imwidth=384,X-Salada.,2025-05-06 19:35:23,x salada
Padaria Rainha da Vila Gomes,4.6,/delivery/sao-paulo-sp/padaria-rainha-da-vila-gomes-jardim-bonfiglioli/23030ce3-a8ad-4957-879b-55d918ebe64e,"R$ 18,50",https://static.ifood-static.com.br/image/upload/t_medium/pratos/23030ce3-a8ad-4957-879b-55d918ebe64e/202006081735_2MRu_x.jpg?imwidth=384,Hiper promoção -X salada Completo!,2025-05-06 19:35:23,x salada
Restaurante Esquina do D,4.8,/delivery/sao-paulo-sp/restaurante-esquina-do-d-casa-verde/2e57a3ca-da5a-4aa4-9a81-0eb514ea1ce8,"R$ 18,50",https://static.ifood-static.com.br/image/upload/t_medium/pratos/2e57a3ca-da5a-4aa4-9a81-0eb514ea1ce8/202404060908_3MLY_i.jpg?imwidth=384,X Salada,2025-05-06 19:35:23,x salada
Flor da Bom Sucesso,4.8,/delivery/sao-paulo-sp/flor-da-bom-sucesso-cidade-mae-do-ceu/e8739978-a030-47a5-b62a-c9eaf2623dad,"R$ 18,90",https://static.ifood-static.com.br/image/upload/t_medium/pratos/e8739978-a030-47a5-b62a-c9eaf2623dad/202104161801_OS88_.jpeg?imwidth=384,X-salada,2025-05-06 19:35:23,x salada
Uchiha Açaí e LanchesEsta loja é uma das campeãs do iFood em qualidade de serviço.,4.8,/delivery/sao-paulo-sp/uchiha-acai-e-lanches-casa-verde-alta/3564e962-9dc9-4a57-9133-e12a582d09ff,"R$ 19,00",https://static.ifood-static.com.br/image/upload/t_medium/pratos/3564e962-9dc9-4a57-9133-e12a582d09ff/202501031602_1P00_i.jpg?imwidth=384,X salada + Mine coca,2025-05-06 19:35:23,x salada
Hot Esfihas Vila Brasilina,4.8,/delivery/sao-paulo-sp/hot-esfihas-vila-brasilina-vila-brasilina/62290cc4-b676-48b8-8a5a-ad8573787517,"R$ 19,00",https://static.ifood-static.com.br/image/upload/t_medium/logosgde/62290cc4-b676-48b8-8a5a-ad8573787517/202403102159_OU99_i.jpg?imwidth=384,X-Salada,2025-05-06 19:35:23,x salada
Jeronimo - Shopping Tiete Plaza,4.7,/delivery/sao-paulo-sp/jeronimo---shopping-tiete-plaza-jardim-iris/ce5f77d4-f494-45df-bcf1-c75325f3f812,"R$ 19,20",https://static.ifood-static.com.br/image/upload/t_medium/pratos/11f5ef5d-e1d1-4834-8482-84f4ebdf98c0/202205162304_48K1_i.jpg?imwidth=384,X-Salada  P,2025-05-06 19:35:23,x salada
Madero & Jeronimo - Oscar FreireEsta loja é uma das campeãs do iFood em qualidade de serviço.,4.7,/delivery/sao-paulo-sp/madero--jeronimo---oscar-freire-cerqueira-cesar/3ac38919-f2a0-433c-9d46-396d21af138c,"R$ 19,20",https://static.ifood-static.com.br/image/upload/t_medium/pratos/11f5ef5d-e1d1-4834-8482-84f4ebdf98c0/202205162304_48K1_i.jpg?imwidth=384,X-Salada  P,2025-05-06 19:35:23,x salada
Padaria Kid Blanco,4.6,/delivery/sao-paulo-sp/padaria-kid-blanco-saude/c71396b7-4645-4497-8b30-a4d844b24395,"R$ 19,37",https://static.ifood-static.com.br/image/upload/t_medium/pratos/c71396b7-4645-4497-8b30-a4d844b24395/202409131734_840q_.jpeg?imwidth=384,X salada,2025-05-06 19:35:23,x salada
Galeteria e Marmitaria Grill,4.7,/delivery/sao-paulo-sp/galeteria-e-marmitaria-grill-vila-santa-catarina/a2534c67-ca81-41bc-a27f-5bfcc6d2e048,"R$ 19,90",https://static.ifood-static.com.br/image/upload/t_medium/logosgde/a2534c67-ca81-41bc-a27f-5bfcc6d2e048/202108130857_Rj2S_i.jpg?imwidth=384,X-salada,2025-05-06 19:35:23,x salada
"Casa da Esfiha  - Av Parada Pinto, 2464",4.8,/delivery/sao-paulo-sp/casa-da-esfiha----av-parada-pinto-2464-vila-nova-cachoeirinha/17db21e5-51a9-4198-8c37-5482e77da3f9,"R$ 19,90",https://static.ifood-static.com.br/image/upload/t_medium/pratos/d6ee0474-cd82-49d0-a822-b2b343333297/201902011506_xsala.png?imwidth=384,X-salada,2025-05-06 19:35:23,x salada
Top Lanche,Novidade,/delivery/sao-paulo-sp/top-lanche-paraisopolis/3de1beab-c053-4607-9ef1-2c503ba94cf8,"R$ 19,90",https://static.ifood-static.com.br/image/upload/t_medium/pratos/3de1beab-c053-4607-9ef1-2c503ba94cf8/202504082318_8Z8H_.jpeg?imwidth=384,X- Salada,2025-05-06 19:35:23,x salada
Marmitaria Express Loja 2 - super rápido,4.7,/delivery/sao-paulo-sp/marmitaria-express-loja-2---super-rapido-pinheiros/5301d417-5e9f-429e-a9e1-755331e6c81a,"R$ 19,99",https://static.ifood-static.com.br/image/upload/t_medium/pratos/73b35107-07d1-4747-b61f-3e4cc4d5f09c/202501230604_NG0C_i.jpg?imwidth=384,X Salada,2025-05-06 19:35:23,x salada
Ponto da Esfiha,4.7,/delivery/sao-paulo-sp/ponto-da-esfiha-casa-verde-alta/b51b441b-f4ab-4d24-8aad-1bbcc5c85d80,"R$ 19,99",https://static.ifood-static.com.br/image/upload/t_medium/pratos/9d271d73-5f00-4f2e-80ae-c2356367201b/202108052031_66AU_i.jpg?imwidth=384,X- salada,2025-05-06 19:35:23,x salada
